"id","invoice_id","branch","city","customer_type","gender","product_line","unit_price","quantity","tax_5_percent","total","date","time","payment","cogs","gross_income","rating","product"
1097,"744-09-5786",B,Mandalay,Normal,Male,Electronic accessories,22.01,6,6.603,138.663,"08/02/2022","18:50",Cash,132.06,6.603,7.6,
1098,"670-71-7306",B,Mandalay,Normal,Male,Sports and travel,44.63,6,13.389,281.169,"08/02/2022","20:08",Credit card,267.78,13.389,5.1,
1099,"343-87-0864",C,Naypyitaw,Member,Male,Health and beauty,75.88,1,3.794,79.674,"08/03/2022","10:30",Credit card,75.88,3.794,7.1,
1100,"249-42-3782",A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,"08/03/2022","11:36",Ewallet,350.05,17.5025,5.5,
1101,"749-24-1565",A,Yangon,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,"08/03/2022","12:02",Ewallet,207.27,10.3635,7.9,
1102,"875-31-8302",B,Mandalay,Normal,Male,Sports and travel,93.38,1,4.669,98.049,"08/03/2022","13:07",Cash,93.38,4.669,9.6,
1103,"422-29-8786",A,Yangon,Normal,Female,Home and lifestyle,67.09,5,16.7725,352.2225,"08/03/2022","16:47",Credit card,335.45,16.7725,9.1,
1104,"552-44-5977",B,Mandalay,Member,Male,Health and beauty,62,8,24.8,520.8,"08/03/2022","19:08",Credit card,496,24.8,6.2,
1105,"687-15-1097",C,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.112,44.352,"08/03/2022","19:17",Cash,42.24,2.112,9.7,
1106,"501-61-1753",B,Mandalay,Normal,Female,Home and lifestyle,63.15,6,18.945,397.845,"08/03/2022","20:24",Ewallet,378.9,18.945,9.8,
1107,"132-23-6451",A,Yangon,Member,Male,Health and beauty,20.97,5,5.2425,110.0925,"08/04/2022","13:21",Cash,104.85,5.2425,7.8,
1108,"656-16-1063",B,Mandalay,Normal,Male,Sports and travel,46.42,3,6.963,146.223,"08/04/2022","13:24",Credit card,139.26,6.963,4.4,
1109,"731-14-2199",A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,"08/04/2022","13:34",Ewallet,355.4,17.77,7,
1110,"672-51-8681",C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,"08/04/2022","18:19",Credit card,599.85,29.9925,9.7,
1111,"725-32-9708",B,Mandalay,Member,Female,Fashion accessories,68.71,4,13.742,288.582,"08/04/2022","19:01",Cash,274.84,13.742,4.1,
1112,"279-74-2924",B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,"08/04/2022","19:40",Cash,72.17,3.6085,6.1,
1113,"217-58-1179",A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,"08/05/2022","11:25",Cash,250.6,12.53,4.2,
1114,"339-12-4827",B,Mandalay,Member,Female,Fashion accessories,73.96,1,3.698,77.658,"08/05/2022","11:32",Credit card,73.96,3.698,5,
1115,"489-82-1237",A,Yangon,Normal,Female,Electronic accessories,93.88,7,32.858,690.018,"08/05/2022","11:51",Credit card,657.16,32.858,7.3,
1116,"573-98-8548",C,Naypyitaw,Member,Female,Fashion accessories,31.9,1,1.595,33.495,"08/05/2022","12:40",Ewallet,31.9,1.595,9.1,
1117,"750-67-8428",A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,"08/05/2022","13:08",Ewallet,522.83,26.1415,9.1,
1118,"144-51-6085",A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,297.108,"08/05/2022","16:05",Credit card,282.96,14.148,4.4,
1119,"209-61-0206",A,Yangon,Normal,Female,Home and lifestyle,42.91,5,10.7275,225.2775,"08/05/2022","17:29",Ewallet,214.55,10.7275,6.1,
1120,"433-08-7822",C,Naypyitaw,Normal,Female,Health and beauty,78.89,7,27.6115,579.8415,"08/05/2022","19:48",Ewallet,552.23,27.6115,7.5,
1121,"843-01-4703",B,Mandalay,Member,Female,Home and lifestyle,35.38,9,15.921,334.341,"08/05/2022","19:50",Credit card,318.42,15.921,9.6,
1122,"801-88-0346",C,Naypyitaw,Normal,Female,Fashion accessories,76.06,3,11.409,239.589,"08/05/2022","20:30",Credit card,228.18,11.409,9.8,
1123,"841-18-8232",B,Mandalay,Normal,Female,Food and beverages,71.2,1,3.56,74.76,"08/05/2022","20:40",Credit card,71.2,3.56,9.2,
1124,"628-34-3388",C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,"08/05/2022","20:54",Credit card,164.28,8.214,7.9,
1125,"490-29-1201",A,Yangon,Normal,Female,Sports and travel,15.34,1,0.767,16.107,"08/06/2022","11:09",Cash,15.34,0.767,6.5,
1126,"729-06-2010",B,Mandalay,Member,Male,Health and beauty,80.47,9,36.2115,760.4415,"08/06/2022","11:18",Cash,724.23,36.2115,9.2,
1127,"704-11-6354",A,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,"08/06/2022","11:23",Cash,471.2,23.56,8.9,
1128,"846-10-0341",A,Yangon,Normal,Female,Fashion accessories,42.57,7,14.8995,312.8895,"08/06/2022","11:51",Cash,297.99,14.8995,6.8,
1129,"834-25-9262",C,Naypyitaw,Normal,Female,Fashion accessories,81.68,4,16.336,343.056,"08/06/2022","12:12",Cash,326.72,16.336,9.1,
1130,"393-65-2792",C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,"08/06/2022","12:46",Credit card,894.8,44.74,9.6,
1131,"852-82-2749",A,Yangon,Normal,Male,Sports and travel,64.59,4,12.918,271.278,"08/06/2022","13:35",Ewallet,258.36,12.918,9.3,
1132,"662-72-2873",A,Yangon,Normal,Female,Food and beverages,40.94,5,10.235,214.935,"08/06/2022","13:58",Ewallet,204.7,10.235,9.9,
1133,"826-58-8051",B,Mandalay,Normal,Male,Home and lifestyle,62.19,4,12.438,261.198,"08/06/2022","19:46",Ewallet,248.76,12.438,4.3,
1134,"126-54-1082",A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,203.553,"08/07/2022","11:44",Credit card,193.86,9.693,8.8,
1135,"541-48-8554",A,Yangon,Normal,Male,Sports and travel,60.95,9,27.4275,575.9775,"08/07/2022","12:08",Credit card,548.55,27.4275,6,
1136,"889-04-9723",B,Mandalay,Member,Female,Food and beverages,89.14,4,17.828,374.388,"08/07/2022","12:20",Credit card,356.56,17.828,7.8,
1137,"232-16-2483",C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,"08/07/2022","12:28",Ewallet,68.12,3.406,6.8,
1138,"390-31-6381",C,Naypyitaw,Normal,Male,Food and beverages,27.22,3,4.083,85.743,"08/07/2022","12:37",Cash,81.66,4.083,7.3,
1139,"109-28-2512",B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,"08/07/2022","15:01",Ewallet,585.66,29.283,9.9,
1140,"799-71-1548",A,Yangon,Member,Male,Electronic accessories,77.72,4,15.544,326.424,"08/07/2022","16:11",Credit card,310.88,15.544,8.8,
1141,"526-86-8552",C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,10.91,229.11,"08/07/2022","17:36",Cash,218.2,10.91,7.1,
1142,"566-19-5475",B,Mandalay,Normal,Male,Fashion accessories,47.97,7,16.7895,352.5795,"08/07/2022","20:52",Cash,335.79,16.7895,6.2,
1143,"442-44-6497",C,Naypyitaw,Member,Male,Home and lifestyle,55.57,3,8.3355,175.0455,"08/08/2022","11:42",Credit card,166.71,8.3355,5.9,
1144,"767-97-4650",B,Mandalay,Member,Female,Sports and travel,64.83,2,6.483,136.143,"08/08/2022","11:59",Credit card,129.66,6.483,8,
1145,"387-49-4215",B,Mandalay,Member,Female,Sports and travel,48.5,3,7.275,152.775,"08/08/2022","12:50",Cash,145.5,7.275,6.7,
1146,"241-96-5076",B,Mandalay,Member,Female,Home and lifestyle,49.1,2,4.91,103.11,"08/08/2022","12:58",Credit card,98.2,4.91,6.4,
1147,"674-15-9296",A,Yangon,Normal,Male,Sports and travel,37.14,5,9.285,194.985,"08/08/2022","13:05",Ewallet,185.7,9.285,5,
1148,"750-57-9686",C,Naypyitaw,Normal,Female,Home and lifestyle,45.38,4,9.076,190.596,"08/08/2022","13:48",Credit card,181.52,9.076,8.7,
1149,"192-98-7397",C,Naypyitaw,Normal,Male,Fashion accessories,12.78,1,0.639,13.419,"08/08/2022","14:11",Ewallet,12.78,0.639,9.5,
1150,"490-95-0021",B,Mandalay,Member,Female,Food and beverages,33.21,10,16.605,348.705,"08/08/2022","14:25",Ewallet,332.1,16.605,6,
1151,"124-31-1458",A,Yangon,Member,Female,Electronic accessories,79.59,3,11.9385,250.7085,"08/08/2022","14:30",Cash,238.77,11.9385,6.6,
1152,"663-86-9076",C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,"08/08/2022","15:57",Ewallet,548.32,27.416,8.5,
1153,"189-08-9157",C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,"08/08/2022","16:17",Credit card,285.57,14.2785,5.9,
1154,"257-60-7754",A,Yangon,Normal,Female,Electronic accessories,50.23,4,10.046,210.966,"08/08/2022","17:12",Cash,200.92,10.046,9,
1155,"840-76-5966",A,Yangon,Member,Male,Sports and travel,12.76,2,1.276,26.796,"08/08/2022","18:06",Ewallet,25.52,1.276,7.8,
1156,"457-13-1708",B,Mandalay,Member,Male,Fashion accessories,65.23,10,32.615,684.915,"08/08/2022","19:07",Credit card,652.3,32.615,5.2,
1157,"631-34-1880",C,Naypyitaw,Member,Male,Food and beverages,24.31,3,3.6465,76.5765,"08/08/2022","19:09",Credit card,72.93,3.6465,4.3,
1158,"845-94-6841",C,Naypyitaw,Member,Female,Food and beverages,72.88,9,32.796,688.716,"08/08/2022","19:38",Cash,655.92,32.796,4,
1159,"484-22-8230",C,Naypyitaw,Member,Female,Fashion accessories,51.89,7,18.1615,381.3915,"08/08/2022","20:08",Cash,363.23,18.1615,4.5,
1160,"571-94-0759",B,Mandalay,Member,Female,Food and beverages,74.6,10,37.3,783.3,"08/08/2022","20:55",Cash,746,37.3,9.5,
1161,"189-40-5216",C,Naypyitaw,Normal,Male,Electronic accessories,96.37,7,33.7295,708.3195,"08/09/2022","11:40",Cash,674.59,33.7295,6,
1162,"867-47-1948",C,Naypyitaw,Normal,Female,Home and lifestyle,15.8,10,7.9,165.9,"08/09/2022","12:07",Cash,158,7.9,7.8,
1163,"288-62-1085",A,Yangon,Member,Male,Fashion accessories,38.54,5,9.635,202.335,"08/09/2022","13:34",Ewallet,192.7,9.635,5.6,
1164,"554-42-2417",C,Naypyitaw,Normal,Female,Sports and travel,95.44,10,47.72,1002.12,"08/09/2022","13:45",Cash,954.4,47.72,5.2,
1165,"370-96-0655",C,Naypyitaw,Normal,Female,Fashion accessories,49.32,6,14.796,310.716,"08/09/2022","13:46",Ewallet,295.92,14.796,7.1,
1166,"263-10-3913",C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,"08/09/2022","14:20",Credit card,441.36,22.068,8.6,
1167,"343-75-9322",B,Mandalay,Member,Female,Sports and travel,11.85,8,4.74,99.54,"08/09/2022","16:34",Cash,94.8,4.74,4.1,
1168,"305-89-2768",B,Mandalay,Member,Female,Home and lifestyle,21.9,3,3.285,68.985,"08/09/2022","18:43",Ewallet,65.7,3.285,4.7,
1169,"887-42-0517",C,Naypyitaw,Normal,Female,Sports and travel,83.14,7,29.099,611.079,"08/10/2022","10:31",Credit card,581.98,29.099,6.6,
1170,"241-11-2261",B,Mandalay,Normal,Female,Fashion accessories,79.86,7,27.951,586.971,"08/10/2022","10:33",Credit card,559.02,27.951,5.5,
1171,"226-34-0034",B,Mandalay,Normal,Female,Electronic accessories,13.78,4,2.756,57.876,"08/10/2022","11:10",Ewallet,55.12,2.756,9,
1172,"603-07-0961",C,Naypyitaw,Member,Male,Electronic accessories,74.79,5,18.6975,392.6475,"08/10/2022","11:34",Cash,373.95,18.6975,4.9,
1173,"744-02-5987",A,Yangon,Member,Male,Home and lifestyle,78.38,6,23.514,493.794,"08/10/2022","14:16",Ewallet,470.28,23.514,5.8,
1174,"640-49-2076",B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,"08/10/2022","14:49",Cash,670.24,33.512,5.1,
1175,"873-51-0671",A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,"08/10/2022","16:42",Ewallet,153.86,7.693,5.1,
1176,"665-32-9167",A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,"08/10/2022","17:15",Credit card,72.52,3.626,7.2,
1177,"577-34-7579",C,Naypyitaw,Member,Male,Food and beverages,50.49,9,22.7205,477.1305,"08/10/2022","17:16",Cash,454.41,22.7205,5.4,
1178,"289-15-7034",A,Yangon,Member,Male,Sports and travel,82.33,4,16.466,345.786,"08/11/2022","10:37",Credit card,329.32,16.466,7.5,
1179,"478-06-7835",A,Yangon,Normal,Male,Fashion accessories,89.69,1,4.4845,94.1745,"08/11/2022","11:20",Ewallet,89.69,4.4845,4.9,
1180,"406-46-7107",A,Yangon,Normal,Female,Home and lifestyle,96.52,6,28.956,608.076,"08/11/2022","11:52",Cash,579.12,28.956,4.5,
1181,"130-67-4723",A,Yangon,Member,Male,Food and beverages,48.5,6,14.55,305.55,"08/11/2022","13:57",Ewallet,291,14.55,9.4,
1182,"746-68-6593",C,Naypyitaw,Member,Female,Sports and travel,87.16,2,8.716,183.036,"08/11/2022","14:29",Credit card,174.32,8.716,9.7,
1183,"540-11-4336",A,Yangon,Normal,Male,Food and beverages,24.94,9,11.223,235.683,"08/11/2022","16:49",Credit card,224.46,11.223,5.6,
1184,"732-67-5346",A,Yangon,Normal,Male,Food and beverages,13.79,5,3.4475,72.3975,"08/11/2022","19:07",Credit card,68.95,3.4475,7.8,
1185,"592-46-1692",C,Naypyitaw,Member,Female,Food and beverages,36.77,7,12.8695,270.2595,"08/11/2022","20:10",Cash,257.39,12.8695,7.4,
1186,"852-62-7105",B,Mandalay,Normal,Female,Fashion accessories,83.25,10,41.625,874.125,"08/12/2022","11:25",Credit card,832.5,41.625,4.4,
1187,"533-66-5566",B,Mandalay,Normal,Female,Home and lifestyle,51.07,7,17.8745,375.3645,"08/12/2022","11:42",Cash,357.49,17.8745,7,
1188,"659-36-1684",C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,"08/12/2022","12:02",Credit card,399.84,19.992,6.5,
1189,"704-48-3927",A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,"08/12/2022","14:50",Ewallet,886.7,44.335,7.3,
1190,"381-20-0914",A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,"08/12/2022","15:48",Credit card,180.09,9.0045,5.7,
1191,"751-41-9720",C,Naypyitaw,Normal,Male,Home and lifestyle,97.5,10,48.75,1023.75,"08/12/2022","16:18",Ewallet,975,48.75,8,
1192,"647-50-1224",A,Yangon,Normal,Female,Fashion accessories,29.42,10,14.71,308.91,"08/12/2022","16:23",Ewallet,294.2,14.71,8.9,
1193,"751-15-6198",B,Mandalay,Normal,Male,Sports and travel,23.01,6,6.903,144.963,"08/12/2022","16:45",Ewallet,138.06,6.903,7.9,
1194,"848-07-1692",B,Mandalay,Normal,Female,Health and beauty,57.22,2,5.722,120.162,"08/12/2022","17:13",Ewallet,114.44,5.722,8.3,
1195,"197-77-7132",B,Mandalay,Member,Male,Electronic accessories,91.56,8,36.624,769.104,"08/12/2022","18:22",Ewallet,732.48,36.624,6,
1196,"296-11-7041",B,Mandalay,Member,Female,Health and beauty,27.07,1,1.3535,28.4235,"08/12/2022","20:07",Credit card,27.07,1.3535,5.3,
1197,"460-93-5834",A,Yangon,Normal,Male,Sports and travel,45.58,7,15.953,335.013,"08/13/2022","10:03",Cash,319.06,15.953,5,
1198,"195-06-0432",A,Yangon,Member,Male,Home and lifestyle,81.01,3,12.1515,255.1815,"08/13/2022","12:55",Credit card,243.03,12.1515,9.3,
1199,"784-08-0310",C,Naypyitaw,Member,Female,Food and beverages,21.04,4,4.208,88.368,"08/13/2022","13:58",Cash,84.16,4.208,7.6,
1200,"339-38-9982",B,Mandalay,Member,Male,Fashion accessories,59.86,2,5.986,125.706,"08/13/2022","14:55",Ewallet,119.72,5.986,6.7,
1201,"732-94-0499",C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,"08/13/2022","17:04",Credit card,416.5,20.825,5.4,
1202,"397-25-8725",A,Yangon,Member,Female,Health and beauty,39.62,9,17.829,374.409,"08/13/2022","17:54",Credit card,356.58,17.829,6.8,
1203,"459-50-7686",A,Yangon,Normal,Female,Electronic accessories,23.46,6,7.038,147.798,"08/13/2022","19:14",Ewallet,140.76,7.038,6.4,
1204,"556-86-3144",C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,"08/13/2022","19:30",Cash,74.29,3.7145,5,
1205,"327-40-9673",B,Mandalay,Member,Male,Sports and travel,72.6,6,21.78,457.38,"08/13/2022","19:51",Cash,435.6,21.78,6.9,
1206,"355-34-6244",B,Mandalay,Normal,Male,Food and beverages,72.39,2,7.239,152.019,"08/13/2022","19:55",Credit card,144.78,7.239,8.1,
1207,"426-39-2418",C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,"08/14/2022","10:02",Cash,429.87,21.4935,9.8,
1208,"320-85-2052",B,Mandalay,Normal,Female,Sports and travel,34.81,1,1.7405,36.5505,"08/14/2022","10:11",Credit card,34.81,1.7405,7,
1209,"559-61-5987",B,Mandalay,Normal,Female,Health and beauty,17.75,1,0.8875,18.6375,"08/14/2022","10:38",Cash,17.75,0.8875,8.6,
1210,"704-10-4056",C,Naypyitaw,Member,Male,Health and beauty,60.47,3,9.0705,190.4805,"08/14/2022","10:55",Credit card,181.41,9.0705,5.6,
1211,"868-52-7573",B,Mandalay,Normal,Female,Food and beverages,99.69,5,24.9225,523.3725,"08/14/2022","12:09",Cash,498.45,24.9225,9.9,
1212,"667-23-5919",A,Yangon,Member,Female,Fashion accessories,96.7,5,24.175,507.675,"08/14/2022","12:52",Ewallet,483.5,24.175,7,
1213,"377-79-7592",C,Naypyitaw,Member,Female,Electronic accessories,44.84,9,20.178,423.738,"08/14/2022","14:00",Credit card,403.56,20.178,7.5,
1214,"592-34-6155",C,Naypyitaw,Normal,Male,Food and beverages,31.77,4,6.354,133.434,"08/14/2022","14:43",Ewallet,127.08,6.354,6.2,
1215,"451-73-2711",C,Naypyitaw,Normal,Male,Food and beverages,84.83,1,4.2415,89.0715,"08/14/2022","15:20",Ewallet,84.83,4.2415,8.8,
1216,"658-66-3967",C,Naypyitaw,Normal,Male,Health and beauty,53.19,7,18.6165,390.9465,"08/14/2022","15:42",Ewallet,372.33,18.6165,5,
1217,"359-90-3665",B,Mandalay,Member,Female,Fashion accessories,18.08,4,3.616,75.936,"08/14/2022","18:03",Credit card,72.32,3.616,9.5,
1218,"785-13-7708",B,Mandalay,Normal,Male,Food and beverages,73.06,7,25.571,536.991,"08/14/2022","19:06",Credit card,511.42,25.571,4.2,
1219,"588-47-8641",A,Yangon,Member,Male,Fashion accessories,56.04,10,28.02,588.42,"08/14/2022","19:30",Ewallet,560.4,28.02,4.4,
1220,"301-11-9629",A,Yangon,Normal,Female,Sports and travel,19.1,7,6.685,140.385,"08/15/2022","10:43",Cash,133.7,6.685,9.7,
1221,"589-02-8023",A,Yangon,Member,Male,Food and beverages,83.77,2,8.377,175.917,"08/15/2022","10:54",Credit card,167.54,8.377,7,
1222,"437-58-8131",B,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,"08/15/2022","13:41",Ewallet,147.04,7.352,4.6,
1223,"744-16-7898",B,Mandalay,Normal,Female,Home and lifestyle,97.37,10,48.685,1022.385,"08/15/2022","13:48",Credit card,973.7,48.685,4.9,
1224,"188-55-0967",B,Mandalay,Member,Male,Health and beauty,66.47,10,33.235,697.935,"08/15/2022","15:01",Credit card,664.7,33.235,5,
1225,"660-29-7083",C,Naypyitaw,Normal,Male,Electronic accessories,55.87,10,27.935,586.635,"08/15/2022","15:01",Cash,558.7,27.935,5.8,
1226,"138-17-5109",A,Yangon,Member,Female,Home and lifestyle,89.21,9,40.1445,843.0345,"08/15/2022","15:42",Credit card,802.89,40.1445,6.5,
1227,"299-46-1805",B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,"08/15/2022","16:19",Cash,562.32,28.116,4.5,
1228,"272-65-1806",A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,"08/15/2022","17:17",Ewallet,547.92,27.396,4.7,
1229,"886-54-6089",A,Yangon,Normal,Female,Home and lifestyle,11.43,6,3.429,72.009,"08/15/2022","17:24",Cash,68.58,3.429,7.7,
1230,"369-82-2676",B,Mandalay,Normal,Male,Electronic accessories,75.66,5,18.915,397.215,"08/15/2022","18:22",Ewallet,378.3,18.915,7.8,
1231,"450-28-2866",C,Naypyitaw,Member,Male,Food and beverages,17.44,5,4.36,91.56,"08/15/2022","19:25",Cash,87.2,4.36,8.1,
1232,"314-23-4520",C,Naypyitaw,Member,Male,Health and beauty,81.23,7,28.4305,597.0405,"08/15/2022","20:44",Cash,568.61,28.4305,9,
1233,"842-29-4695",C,Naypyitaw,Member,Male,Sports and travel,17.14,7,5.999,125.979,"08/16/2022","12:07",Credit card,119.98,5.999,7.9,
1234,"234-65-2137",C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,"08/16/2022","13:32",Cash,955.8,47.79,4.8,
1235,"372-62-5264",C,Naypyitaw,Normal,Female,Food and beverages,52.6,9,23.67,497.07,"08/16/2022","14:42",Cash,473.4,23.67,7.6,
1236,"859-71-0933",C,Naypyitaw,Member,Female,Sports and travel,15.49,2,1.549,32.529,"08/16/2022","15:10",Cash,30.98,1.549,6.3,
1237,"659-65-8956",B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,"08/16/2022","15:26",Ewallet,51.36,2.568,5.2,
1238,"648-83-1321",A,Yangon,Member,Male,Home and lifestyle,63.56,10,31.78,667.38,"08/16/2022","17:59",Cash,635.6,31.78,4.3,
1239,"347-72-6115",B,Mandalay,Member,Female,Sports and travel,90.74,7,31.759,666.939,"08/16/2022","18:03",Credit card,635.18,31.759,6.2,
1240,"677-11-0152",C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,41.967,881.307,"08/16/2022","18:08",Cash,839.34,41.967,8.8,
1241,"618-34-8551",A,Yangon,Normal,Female,Sports and travel,93.18,2,9.318,195.678,"08/16/2022","18:41",Credit card,186.36,9.318,8.5,
1242,"286-62-6248",B,Mandalay,Normal,Male,Fashion accessories,39.21,4,7.842,164.682,"08/16/2022","20:03",Credit card,156.84,7.842,9,
1243,"679-22-6530",B,Mandalay,Normal,Female,Sports and travel,40.62,2,4.062,85.302,"08/17/2022","10:01",Credit card,81.24,4.062,4.1,
1244,"349-97-8902",B,Mandalay,Member,Male,Food and beverages,57.89,2,5.789,121.569,"08/17/2022","10:37",Ewallet,115.78,5.789,8.9,
1245,"101-81-4070",C,Naypyitaw,Member,Female,Health and beauty,62.82,2,6.282,131.922,"08/17/2022","12:36",Ewallet,125.64,6.282,4.9,
1246,"746-54-5508",A,Yangon,Normal,Male,Home and lifestyle,21.52,6,6.456,135.576,"08/17/2022","12:48",Credit card,129.12,6.456,9.4,
1247,"698-98-5964",A,Yangon,Normal,Female,Food and beverages,81.21,10,40.605,852.705,"08/17/2022","13:01",Credit card,812.1,40.605,6.3,
1248,"600-38-9738",C,Naypyitaw,Member,Male,Sports and travel,71.92,5,17.98,377.58,"08/17/2022","15:05",Credit card,359.6,17.98,4.3,
1249,"497-37-6538",A,Yangon,Normal,Male,Sports and travel,58.91,7,20.6185,432.9885,"08/17/2022","15:15",Ewallet,412.37,20.6185,9.7,
1250,"670-79-6321",B,Mandalay,Member,Female,Home and lifestyle,94.59,7,33.1065,695.2365,"08/17/2022","15:27",Credit card,662.13,33.1065,4.9,
1251,"200-16-5952",C,Naypyitaw,Member,Male,Food and beverages,65.65,2,6.565,137.865,"08/17/2022","16:46",Cash,131.3,6.565,6,
1252,"445-30-9252",A,Yangon,Normal,Male,Sports and travel,25.7,3,3.855,80.955,"08/17/2022","17:59",Ewallet,77.1,3.855,6.1,
1253,"280-35-5823",B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,"08/17/2022","18:45",Ewallet,86.72,4.336,7.9,
1254,"562-12-5430",A,Yangon,Member,Female,Fashion accessories,88.15,3,13.2225,277.6725,"08/18/2022","10:11",Ewallet,264.45,13.2225,7.9,
